"ID"	"Mass_specific_VCO2"	"Ta"	"N"	"Tb"	"Taset"	"Whole_animal_VCO2"	"ID2"
"50_14_01"	0.070003016518212	16.80356875	4	18.375	17	2.44088280696934	"50"
"6_12_01"	0.0684172141259876	16.85560375	5	19.6	17	1.94063503796613	"6"
"6_15_01"	0.0928896219669792	16.88103125	5	18.2	17	2.67429350202556	"6"
"60_12_01"	0.0439087477624407	16.86770625	4	17.5	17	1.5642364439301	"60"
"60_15_01"	0.0302434817352731	16.868775	3	16.5	17	1.05623832321744	"60"
"8_13_01"	0.0367712629574897	16.8292671875	4	18	17	1.21694834417134	"8"
"10_11_01"	0.197726446578351	19.9123023809524	3	23.0952380952381	20	6.44550792437491	"10"
"10_14_01"	0.285701378042317	19.727603125	4	21.5	20	9.08265334734405	"10"
"11_12_01"	0.0482361723444474	19.885915625	4	20.5	20	1.31273325426744	"11"
"11_15_01"	0.0762622540335518	19.82285625	5	20	20	2.11508845505445	"11"
"12_13_01"	0.0976818114183966	19.852103125	4	21	20	3.31244351525323	"12"
"3_13_01"	0.0789980170722223	19.87288125	4	20	20	2.20952706645476	"3"
"4_13_01"	0.0768020566143422	19.9094625	3	21.1666666666667	20	2.59131375261634	"4"
"5_11_01"	0.192067879374131	19.9164630952381	3	23.4642857142857	20	6.74350152759532	"5"
"5_14_01"	0.0866685114981821	19.7379175	5	20.6	20	2.96723326366788	"5"
"50_11_01"	0.501291238666479	19.9323523809524	3	26.8571428571429	20	18.2266685790783	"50"
"50_14_01"	0.0407533580670855	19.73970625	5	20.5	20	1.41192007347242	"50"
"6_12_01"	0.071277565178739	19.89972	5	21.3	20	2.04169395012815	"6"
"6_15_01"	0.0948790675397788	19.82177	5	19.9	20	2.7034792823968	"6"
"60_12_01"	0.081273334248459	19.8835975	5	20.5	20	2.92634648565931	"60"
"60_15_01"	0.0837079595869761	19.82303125	5	19	20	2.91150581475065	"60"
"8_13_01"	0.168393725452586	19.880959375	4	23.453125	20	5.62821635236797	"8"
"12_9_03"	0.374628141182469	24.444995959596	3	26.1666666666667	24	11.4741394704355	"12"
"2_8_03"	0.414730689860122	24.4682767676768	3	26	24	11.6996921476065	"2"
"3_8_03"	0.24822770210675	24.4456686868687	3	25.5	24	6.67215439210997	"3"
"4_8_03"	0.230474976460902	24.4384525252525	3	25.5	24	6.6827562242013	"4"
"5_8_03"	0.199669484289639	24.4428727272727	3	25.2272727272727	24	5.18983241945204	"5"
"6_8_03"	0.24579244737072	24.4195696969697	3	25	24	6.24345379560629	"6"
"8_9_03"	0.280353973516585	24.4198767676768	3	25.5	24	8.37400689680518	"8"
"9_9_03"	0.276530560134202	24.450094949495	3	25.5	24	6.99915208314909	"9"
"12_9_03"	0.448199204690462	24.8077131313131	3	26.8787878787879	25	13.8222380631084	"12"
"11_9_03"	0.49011052559349	26.3873838383838	3	28.3939393939394	26	12.6296844019324	"11"
"12_9_03"	0.374048736472878	26.3988565656566	3	27.5	26	11.3001338477484	"12"
"4_8_03"	0.357977127551401	26.3488828282828	3	28	26	10.2702270631402	"4"
"5_8_03"	0.278878080021083	26.3787070707071	3	27.5	26	7.1819242442783	"5"
"8_9_03"	0.527236454375776	26.4035090909091	3	27.1666666666667	26	15.5468289187847	"8"
"8_9_03"	0.668274663366917	28.4264484848485	3	29.5	28	19.0469991557398	"8"
"50_14_01"	3.90243096579503	13.953915625	2	30	14	138.181883101819	"50"
"50_14_01"	2.29827734183843	16.84280625	1	30.5	17	80.5164409579672	"50"
"6_12_01"	2.89444841699527	16.911471875	2	30.40625	17	82.2325013749869	"6"
"10_14_01"	3.00941917270207	19.7470475	5	30.225	20	95.1802244026468	"10"
"11_9_03"	2.86535421218103	20.448096969697	1	30	20	77.9241029056233	"11"
"5_14_01"	2.64574518193591	19.74550875	6	30.8	20	90.0548149766103	"5"
"50_11_01"	1.8632829605059	19.9285619047619	3	30.8571428571429	20	67.219785203141	"50"
"60_12_01"	3.35469914845662	19.84750625	2	31.5	20	121.726442234501	"60"
"8_13_01"	2.06160178863361	19.942075	2	31.8125	20	69.7555752565143	"8"
"11_9_03"	2.64697323700194	22.5075818181818	1	30.5	23	71.8281691359349	"11"
"10_9_03"	2.02308447301673	24.4220444444444	3	30.8787878787879	24	53.3866090823589	"10"
"11_9_03"	2.03032313131676	24.374502020202	6	31.0530303030303	24	54.1981693460491	"11"
"10_9_03"	3.01276777799827	24.6051212121212	1	31.1363636363636	25	80.7834544803752	"10"
"11_9_03"	2.11633534313226	24.9220060606061	2	31.25	25	56.973942843264	"11"
"10_9_03"	2.12132929334037	26.3380451178451	9	31.7777777777778	26	54.9515022395922	"10"
"11_9_03"	1.97470298507363	26.3213593073593	7	30.6428571428571	26	51.9183454428843	"11"
"12_9_03"	1.71192559310457	26.3868393939394	2	31.9318181818182	26	51.1729360815609	"12"
"2_8_03"	1.89424649520398	26.3693585858586	6	33	26	52.1708995068132	"2"
"3_8_03"	2.62127190735653	26.3667478787879	5	33.4	26	68.9386566211297	"3"
"6_8_03"	1.96978587374989	26.3545111111111	3	32.1666666666667	26	48.9273141680247	"6"
"9_9_03"	2.21980517324728	26.384270995671	7	32.8571428571429	26	54.7917862006749	"9"
"10_9_03"	2.32784026381684	26.9202666666667	1	32	27	58.8094271667465	"10"
"11_9_03"	2.42090363729601	27.4916242424242	1	31	27	63.8202258651419	"11"
"12_9_03"	1.98031169725157	27.1580363636364	1	33	27	58.8894474031256	"12"
"2_8_03"	2.23225852502031	27.4040484848485	1	33.5	27	62.0501060067322	"2"
"3_8_03"	2.55816062829043	26.6478545454545	1	33	27	66.714067130511	"3"
"6_8_03"	2.13477880877359	27.0759939393939	1	32.5	27	52.6969154057025	"6"
"9_9_03"	1.83863182452292	26.603496969697	1	33	27	45.0356945710379	"9"
"10_9_03"	1.15431072825928	28.4293939393939	9	31.75	28	28.5906926537026	"10"
"11_9_03"	1.26855664782998	28.4380531986532	9	32.5909090909091	28	31.879053770986	"11"
"12_9_03"	1.1699467167823	28.4402154882155	10	31.959595959596	28	34.3649350313139	"12"
"2_8_03"	0.914728235489871	28.3428926406926	7	31.8766233766234	28	24.7257082521126	"2"
"3_8_03"	1.82843016180752	28.3893954545455	8	33.125	28	47.0903376853331	"3"
"4_8_03"	0.904348392350841	28.3936181818182	9	32.1875	28	25.7054002716899	"4"
"5_8_03"	0.718316543125324	28.4123515151515	10	31.5151515151515	28	18.2781452052976	"5"
"6_8_03"	0.847414623551395	28.3946008658009	8	31.2142857142857	28	20.6547262142605	"6"
"8_11_03"	0.71386114920861	27.6232181818182	1	30.5	28	21.4686735197374	"8"
"9_9_03"	1.16458489904451	28.4176975757576	10	32.1	28	28.1736464205299	"9"
